words,links,capital_words,spam_word_count,is_spam
266,0,0,0,0
119,4,4,3,1
363,5,11,5,1
219,0,0,2,0
159,1,2,1,0
89,5,15,9,1
180,5,10,0,0
280,0,2,6,0
906,2,2,2,1
238,2,2,1,0
93,1,3,0,0
214,1,2,1,0
283,2,3,1,0
278,10,11,6,1
145,1,5,5,0
106,1,1,0,0
1000,3,23,3,1
277,8,15,3,1
79,1,3,3,0
375,3,3,3,1
174,1,3,2,0
198,5,27,0,1
301,1,21,3,1
45,2,3,4,0
275,10,28,3,1
701,4,7,7,1
58,1,0,1,0
341,4,27,3,1
143,10,28,8,1
449,2,0,8,1
162,2,3,1,0
479,1,0,1,0
26,0,6,3,0
427,2,2,1,0
170,8,23,4,1
169,8,25,9,1
144,8,27,10,1
205,1,8,0,0
281,2,11,6,1
473,4,12,9,1
343,5,5,0,0
960,9,19,8,1
25,2,7,0,0
195,1,2,2,0
637,5,8,10,1
504,8,6,4,1
756,3,28,9,1
78,8,17,2,1
719,9,2,8,1
442,4,2,10,1
218,1,6,2,0
607,9,11,1,1
635,2,9,6,1
578,9,21,10,1
156,3,11,6,1
498,3,10,4,1
994,2,10,6,1
834,0,9,6,1
416,2,0,4,0
318,4,25,6,1
169,0,4,1,0
46,1,3,6,0
171,1,7,0,0
176,0,11,1,1
846,0,4,4,1
159,0,1,2,0
436,9,29,5,1
904,3,23,7,1
792,3,28,9,1
710,2,6,7,1
380,2,5,2,0
233,3,26,5,1
141,10,29,5,1
87,0,1,0,0
164,2,0,8,1
158,2,8,3,1
52,0,2,2,0
452,5,24,3,1
625,3,2,10,1
49,2,3,2,0
59,1,0,1,0
449,5,26,4,1
45,0,0,5,0
737,2,22,1,1
268,5,5,6,1
228,1,1,1,0
79,4,20,3,1
220,2,1,1,0
180,0,8,4,1
255,2,3,2,0
151,3,11,4,1
382,4,1,6,0
74,1,3,0,0
35,0,1,0,0
528,9,16,9,1
495,0,2,6,0
971,0,13,3,1
432,9,29,10,1
167,2,13,1,1
21,0,0,5,0
853,10,18,3,1
530,10,21,7,1
74,1,1,1,0
103,4,0,2,0
577,4,27,9,1
181,1,4,3,0
294,5,2,1,0
255,2,26,1,1
272,10,8,4,1
415,2,3,1,0
849,1,10,0,1
218,3,12,10,1
100,3,27,10,1
231,0,4,2,0
158,9,25,9,1
121,1,2,3,0
345,2,8,6,1
133,0,0,1,0
245,2,1,2,0
231,4,6,10,1
187,4,9,5,1
904,3,5,2,1
177,0,0,0,0
865,2,14,4,1
50,4,1,1,0
655,7,10,1,1
742,6,23,6,1
68,0,0,2,0
153,5,13,3,1
42,2,3,2,0
955,6,10,8,1
289,3,3,3,0
670,2,13,10,1
714,3,28,6,1
64,2,0,5,0
71,2,2,1,0
226,0,25,8,1
429,2,24,6,1
314,8,28,2,1
76,0,2,2,0
292,1,2,1,0
119,2,3,1,0
689,10,21,1,1
116,3,30,3,1
277,9,24,8,1
418,1,21,6,1
149,2,0,1,0
82,0,2,1,0
835,8,6,8,1
241,2,5,4,1
65,1,5,2,0
52,7,12,7,1
905,5,5,7,1
73,5,0,3,1
252,2,26,6,1
350,9,7,1,1
127,1,1,1,0
865,2,27,7,1
175,2,3,1,0
182,2,0,2,0
341,6,28,6,1
824,1,0,8,1
823,4,7,10,1
764,6,14,10,1
661,4,21,4,1
403,3,4,4,1
589,10,8,8,1
165,0,10,1,0
958,2,19,4,1
243,1,3,2,0
784,4,19,9,1
122,1,3,1,0
419,2,10,3,1
490,3,30,1,1
307,7,7,3,1
317,2,0,2,0
83,2,0,0,0
114,0,8,1,0
212,4,1,10,1
125,1,0,0,0
63,2,5,2,0
335,8,20,1,1
182,1,1,1,0
768,5,18,3,1
216,0,8,2,0
865,4,1,10,1
312,3,3,2,0
468,0,0,0,0
429,7,26,10,1
665,9,15,8,1
269,0,1,0,0
96,2,0,5,0
446,6,7,9,1
610,1,8,7,1
895,5,21,4,1
61,8,7,4,1
235,0,1,3,0
484,2,1,3,0
137,10,2,2,1
186,0,2,1,0
331,3,1,5,1
384,1,12,6,1
719,4,5,5,1
713,2,3,2,1
332,10,13,1,1
748,10,17,1,1
290,1,0,0,0
94,1,3,0,0
615,9,7,6,1
430,8,18,6,1
139,6,3,7,1
217,8,24,2,1
333,10,7,10,1
166,2,5,4,1
414,8,11,10,1
314,2,8,0,0
94,1,2,0,0
505,5,7,10,1
114,7,5,7,1
865,10,5,6,1
450,1,7,0,0
183,2,0,1,0
229,3,24,6,1
989,10,6,2,1
256,0,1,1,0
296,2,1,1,0
757,9,30,3,1
78,6,21,3,1
200,1,1,1,0
69,3,29,3,1
71,1,2,2,0
149,3,5,10,1
185,2,21,6,1
270,0,4,5,0
27,0,1,2,0
252,0,2,4,0
376,8,19,8,1
498,10,17,7,1
250,10,0,4,1
228,1,0,0,0
124,4,1,5,1
487,5,6,3,1
189,2,26,1,1
197,0,0,1,0
438,7,5,6,1
214,2,3,0,0
130,8,10,3,1
407,10,10,3,1
289,0,0,2,0
205,0,0,2,0
317,0,5,0,0
621,10,28,2,1
119,2,10,1,0
246,2,2,0,0
415,3,19,9,1
175,1,1,0,0
60,2,3,2,0
63,1,2,0,0
263,2,1,1,0
283,3,11,9,1
199,10,15,4,1
39,0,3,1,0
347,9,8,0,1
114,8,0,3,1
159,5,1,2,0
262,0,3,0,0
153,5,2,6,1
138,7,28,4,1
842,2,23,0,1
132,5,3,1,0
184,2,0,0,0
123,9,2,3,1
584,9,12,1,1
373,4,1,3,0
531,4,10,1,1
957,1,10,3,1
80,4,19,6,1
155,2,1,3,0
138,0,4,1,0
260,1,1,1,0
55,4,10,10,1
125,5,28,5,1
296,2,28,9,1
598,9,20,6,1
910,9,9,5,1
40,2,8,1,0
965,10,10,8,1
794,0,27,6,1
371,3,8,6,0
352,0,1,2,0
304,3,25,8,1
878,7,25,3,1
750,7,4,10,1
86,2,1,2,0
207,6,2,5,1
186,1,4,2,0
934,7,11,4,1
139,5,11,5,1
216,0,2,2,0
87,10,9,8,1
736,3,3,9,1
165,0,20,4,1
881,5,26,4,1
106,8,17,3,1
218,0,1,6,1
299,5,27,10,1
261,1,3,0,0
794,2,6,9,1
56,3,1,2,0
119,2,9,6,1
191,10,25,3,1
146,0,2,1,0
172,2,1,1,0
275,2,0,2,0
85,9,0,7,1
395,4,6,10,1
132,1,0,0,0
100,2,10,2,1
472,9,20,1,1
193,0,0,2,0
133,2,1,0,0
497,1,8,1,0
52,2,2,2,0
62,1,5,1,0
200,5,3,2,0
129,2,0,1,0
151,1,3,2,0
224,1,0,2,0
251,8,10,9,1
186,0,4,0,0
889,3,16,8,1
192,0,17,7,1
633,1,19,2,1
957,3,19,8,1
100,0,3,1,0
62,0,3,3,0
86,5,27,8,1
45,0,4,1,0
232,0,3,1,0
144,0,0,9,1
872,7,11,7,1
197,1,1,4,0
83,1,1,0,0
467,8,1,8,1
187,1,0,2,0
80,0,30,2,1
460,3,15,4,1
59,1,3,2,0
93,2,1,2,0
215,2,0,1,0
114,10,28,9,1
91,1,9,5,0
181,2,1,2,0
44,0,0,2,0
275,2,2,2,0
168,4,2,1,0
252,2,0,0,0
926,3,22,5,1
638,7,25,9,1
170,6,25,1,1
259,7,0,5,1
148,3,5,1,0
458,2,2,2,0
474,2,3,0,0
426,0,2,1,0
247,10,2,6,1
275,0,1,3,0
177,10,11,7,1
560,9,11,0,1
648,7,21,4,1
480,3,11,1,1
155,9,30,1,1
246,5,9,3,1
474,9,19,7,1
865,5,7,3,1
845,9,28,5,1
510,4,21,9,1
376,4,30,10,1
55,2,0,1,0
951,0,14,5,1
447,10,5,4,1
953,8,14,3,1
259,3,15,6,1
244,2,2,2,0
350,6,1,7,1
146,0,3,0,0
849,2,8,1,1
73,1,1,2,0
84,1,14,10,1
93,0,3,2,0
301,8,23,10,1
90,2,1,1,0
74,1,0,2,0
173,5,1,2,0
178,1,2,2,0
633,8,5,10,1
202,0,2,0,0
119,10,13,5,1
718,6,8,4,1
784,4,27,3,1
245,4,16,0,1
219,0,0,0,0
50,3,26,2,1
56,10,7,4,1
363,0,2,0,0
445,1,2,1,0
80,2,3,0,0
875,2,21,7,1
161,6,16,4,1
515,3,9,1,1
294,0,2,1,0
402,1,1,1,0
788,1,29,5,1
117,2,29,9,1
396,4,11,7,1
383,0,3,1,0
232,0,4,8,1
698,8,14,0,1
219,1,8,0,0
153,5,10,0,0
597,7,16,3,1
181,8,6,6,1
713,5,5,8,1
107,0,2,0,0
496,1,0,0,0
45,0,2,2,0
96,1,2,6,0
905,4,5,8,1
67,0,6,5,0
694,7,25,10,1
273,2,26,6,1
269,0,7,0,0
274,2,0,2,0
149,1,3,2,0
341,2,19,8,1
129,1,8,2,0
314,0,2,0,0
22,2,0,2,0
207,4,3,0,0
200,2,6,0,0
85,0,3,1,0
131,1,2,4,0
759,5,2,5,1
640,3,16,2,1
39,1,2,0,0
51,1,2,0,0
214,5,29,4,1
503,5,20,6,1
74,1,1,0,0
161,0,1,2,0
37,0,1,2,0
114,4,2,1,0
275,0,9,1,0
164,10,16,8,1
288,5,3,0,0
297,1,8,2,0
487,0,2,1,0
269,0,0,0,0
31,2,2,0,0
775,10,1,3,1
165,1,2,0,0
614,4,28,0,1
157,3,15,3,1
535,3,11,3,1
452,4,20,5,1
360,3,0,1,0
305,1,5,7,1
22,1,1,2,0
466,2,1,0,0
227,1,0,4,0
165,2,3,5,0
145,2,7,2,0
245,2,2,2,0
739,2,23,10,1
261,6,5,5,1
290,0,1,1,0
401,0,3,2,0
247,2,4,1,0
753,1,5,3,1
56,9,3,3,1
314,0,8,5,1
145,1,2,0,0
48,0,1,5,0
593,5,3,10,1
99,2,3,3,0
153,0,3,2,0
113,2,1,1,0
113,0,2,4,0
130,5,13,4,1
160,9,20,0,1
293,2,6,0,0
614,0,0,3,1
316,8,11,8,1
195,2,0,1,0
436,10,10,1,1
979,8,28,5,1
892,7,24,8,1
755,10,26,5,1
133,0,10,2,0
71,2,8,2,0
145,2,2,0,0
895,2,23,2,1
888,7,9,8,1
739,3,5,1,1
286,2,1,2,0
239,4,15,5,1
186,2,1,1,0
182,9,27,0,1
582,9,9,3,1
43,0,5,1,0
262,2,2,2,0
223,9,30,1,1
636,9,9,6,1
835,5,18,10,1
72,1,1,2,0
808,5,4,4,1
532,4,26,3,1
300,1,3,0,0
44,2,2,0,0
117,2,24,5,1
115,4,10,0,0
595,0,27,6,1
115,6,20,3,1
908,2,29,9,1
453,1,0,1,0
109,1,3,0,0
119,0,3,1,0
219,0,2,1,0
969,4,26,6,1
226,0,3,0,0
568,8,20,0,1
168,5,5,3,1
611,4,22,4,1
459,1,0,2,0
40,2,3,2,0
171,1,3,1,0
247,2,3,2,0
45,2,1,5,0
307,9,17,4,1
938,5,30,7,1
